TARGET_TAXON,PHYLUM,CLASS,SUBCLASS,ORDER,SUBORDER,FAMILY,SUBFAMILY,GENUS,SPECIES,SUBSPECIES,,,,,,,,,,,,,,,
ARCTODIAPTOMUS ARAPAHOENSIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,ARCTODIAPTOMUS,ARAPAHOENSIS,,,,,,,,,,,,,,,,
ARCTODIAPTOMUS DORSALIS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,ARCTODIAPTOMUS,DORSALIS,,,,,,,,,,,,,,,,
ARCTODIAPTOMUS FLORIDANUS,ARTHROPODA,MAXILLOPODA,COPEPODA,CALANOIDA,,DIAPTOMIDAE,,ARCTODIAPTOMUS,FLORIDANUS,,,,,,,,,,,,,,,,
ARGULUS,ARTHROPODA,MAXILLOPODA,BRANCHIURA,ARGULOIDA,,ARGULIDAE,,ARGULUS,,,,,,,,,,,,,,,,,
ASCOMORPHA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,GASTROPODIDAE,,ASCOMORPHA,,,,,,,,,,,,,,,,,
ASCOMORPHA AGILIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,GASTROPODIDAE,,ASCOMORPHA,AGILIS,,,,,,,,,,,,,,,,
ASCOMORPHA ECAUDIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,GASTROPODIDAE,,ASCOMORPHA,ECAUDIS,,,,,,,,,,,,,,,,
ASCOMORPHA OVALIS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,GASTROPODIDAE,,ASCOMORPHA,OVALIS,,,,,,,,,,,,,,,,
ASCOMORPHA SALTANS,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,GASTROPODIDAE,,ASCOMORPHA,SALTANS,,,,,,,,,,,,,,,,
ASCOMORPHELLA VOLVOCICOLA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,TRICHOCERCIDAE,,ASCOMORPHELLA,VOLVOCICOLA,,,,,,,,,,,,,,,,
ASPLANCHNA,ROTIFERA,EUROTATORIA,MONOGONONTA,PLOIMA,,ASPLANCHNIDAE,,ASPLANCHNA,,,,,,,,,,,,,,,,,
